,Nr1d1,Cry1,Bmal1
26.343434343434346,30.56042566343957,13.791680869212449,23.3540559372502
26.5959595959596,29.95185966960569,13.873336915521534,23.14399716360729
26.84848484848485,29.28654517882314,13.935492911303612,22.986341712591052
27.101010101010104,28.570625914652076,13.97795969290664,22.8802238301934
27.353535353535356,27.81097850322544,14.0007791546148,22.824119362812997
27.60606060606061,27.01511698661196,14.0042200952449,22.81588711758527
27.85858585858586,26.19108675899725,13.988770610800863,22.852819875760776
28.111111111111114,25.347349667550105,13.95512717872436,22.93170410901354
28.363636363636367,24.492662172155757,13.904180634763597,23.04888730178034
28.61616161616162,23.63594857793328,13.836999295411074,23.200351655337933
28.868686868686872,22.786171439526324,13.75480952633877,23.381792843518152
29.12121212121212,21.952201285084016,13.658974099466583,23.58870240756293
29.373737373737374,21.142687819780356,13.550968717511171,23.816452320046924
29.626262626262626,20.36593474344644,13.432357114455401,24.060380216021795
29.87878787878788,19.629780254849976,13.304765162847444,24.31587378409344
30.13131313131313,18.941485217428703,13.16985443380157,24.578452831097596
30.383838383838384,18.3076308295681,13.02929566277864,24.84384758099838
30.636363636363637,17.73402747909955,12.884742573558075,25.108071840750128
30.88888888888889,17.2256362694246,12.737806504296042,25.367489761849114
31.141414141414142,16.786504486887978,12.590032263355683,25.61887504445428
31.393939393939394,16.419716039513155,12.44287561898657,25.859461569185214
31.646464646464647,16.12735764014384,12.2976827963443,26.086984597570336
31.8989898989899,15.910501236871891,12.155672318319487,26.29971185287051
32.151515151515156,15.76920291507266,12.017919483843986,26.49646397563543
32.4040404040404,15.702518213252898,11.885343729516045,26.676624039648498
32.65656565656566,15.708533514146144,11.758699068377748,26.840136010514218
32.90909090909091,15.784412897941369,11.63856774440369,26.987492227585445
33.161616161616166,15.926459580969423,11.525357183689565,27.119710186726813
33.41414141414141,16.130190815171424,11.419300264476316,27.238299093107965
33.66666666666667,16.390424895534615,11.320458869041014,27.34521683644744
33.91919191919192,16.701378718355983,11.228730622168205,27.44281821266685
34.17171717171718,17.056774156220246,11.143858664406176,27.533795372750596
34.42424242424242,17.449951369011803,11.065444254603099,27.621111618985335
34.67676767676768,17.873987056649824,10.992961946247958,27.70792978822368
34.92929292929293,18.32181558048928,10.92577703678646,27.797536559281355
35.18181818181819,18.786350837814066,10.863164949135362,27.89326409531807
35.43434343434343,19.260606768266303,10.804332170779428,27.998410480775142
35.68686868686869,19.737814402477944,10.748438348693663,28.116160435282865
35.93939393939394,20.211533431009553,10.694619118364177,28.249507783505855
36.1919191919192,20.675756374745905,10.642009232730794,28.401181130214397
36.44444444444444,21.125003574311723,10.589765552160015,28.573574134472782
36.6969696969697,21.55440738344567,10.537089459657151,28.768681696681778
36.94949494949495,21.95978414664919,10.48324827638539,28.988043268704878
37.20202020202021,22.337692761371773,10.427595270983163,29.23269437225082
37.45454545454545,22.685478865633677,10.369587881834097,29.50312726626793
37.70707070707071,23.0013039490949,10.308803803893019,29.799261542852406
37.95959595959596,23.284158954637128,10.244954630335119,30.120425255906085
38.21212121212122,23.533862213813425,10.177896783491999,30.465347000567185
38.464646464646464,23.75104183818948,10.107639518490721,30.832159167540617
38.71717171717172,23.937102964763273,10.034349835857217,31.218412398270157
38.96969696969697,24.094180522465926,9.958354195154602,31.621101067895843
39.22222222222223,24.225078443501285,9.880136979516552,32.03669942661578
39.474747474747474,24.333196483478506,9.800335719689803,32.461207839865786
39.727272727272734,24.42244603371861,9.719733144882145,32.89020838698203
39.97979797979798,24.49715650393209,9.63924618529075,33.318928909894865
40.23232323232324,24.561974020253622,9.559912106644207,33.74231445087325
40.484848484848484,24.62175431946527,9.482872009453581,34.155104884081965
40.737373737373744,24.68145182275704,9.409351974007853,34.55191743209585
40.98989898989899,24.746006939774148,9.34064217561432,34.92733266754332
41.24242424242424,24.82023368479843,9.2780743324046,35.27598253333954
41.494949494949495,24.908709681168364,9.222997879532437,35.592638873705475
41.74747474747475,25.015670587555213,9.17675528821872,35.87230095310427
42.0,25.144910901231647,9.140656965412829,36.11028045164401
